,n,BIC difference,AIC difference,Avg Local Term,Avg Visiting Term,Avg Institutional Term,Delta (Standard),Delta (Test Model),Alpha,Delta Prime
France,7,1.43,1.27,1.52,-0.49,-0.18,0.05,0.35,-2.0,0.32
Italy,8,7.78,8.02,2.45,-0.89,-1.29,0.23,0.17,-3.0,0.05
All Countries,41,24.78,29.93,2.35,-0.0,-0.14,-0.12,0.25,-128532.0,0.9
