,n,BIC difference,AIC difference,Avg Local Term,Avg Visiting Term,Avg Institutional Term,Delta (Standard),Delta (Test Model)
Canada,9,-2.15,-1.95,0.97,,0.03,0.0,0.01
Germany,14,1.05,1.7,0.77,,0.23,0.07,0.06
France,7,1.22,1.16,0.83,,0.17,0.18,0.24
United Kingdom,16,27.84,28.62,0.62,,0.38,0.08,0.25
Italy,8,14.7,14.78,0.51,,0.49,0.04,0.01
United States,30,-0.76,0.65,0.88,,0.12,0.05,0.08
All Countries,134,11.93,14.83,0.82,,0.18,0.07,0.13
