,n,Beta (Standard),Beta (Weighted Borrowed Size),Alpha,BIC difference,AIC difference
Germany,11,1.4,1.32,5.0,-0.78,-0.39
France,7,0.95,0.65,1.0,-0.76,-0.81
United Kingdom,13,0.85,0.67,1.0,3.65,4.21
Italy,8,0.65,0.78,1.0,-0.71,-0.63
All Countries,73,0.8,0.67,1.0,3.02,5.32
